
Articulo,Descripcion,Rubro,CON EL 20%
5-068,CINTA DE ENMASCARAR CANDELA 24 MM,PINTURA,"$ 233,580.24"
5-092,CINTA DE ENMASCARAR GFP 18 MM,PINTURA,"$ 1,618.24"
5-063,CINTA DE ENMASCARAR GFP 24 MM,PINTURA,"$ 2,194.38"
5-064,CINTA DE ENMASCARAR GFP 36MM,PINTURA,"$ 3,427.13"
5-065,CINTA DE ENMASCARAR GFP 48MM,PINTURA,"$ 4,305.61"
5-063-P,CINTA DE PAPEL AZUL CANDELA 24 MM,FERRETERIA,"$ 2,260.00"
5-063-P,CINTA DE PAPEL AZUL CANDELA 24 MM,FERRETERIA,"$ 2,685.80"
5-065-C,CINTA DE PAPEL AZUL CANDELA 36 MM,FERRETERIA,"$ 5,125.90"
5-065-C,CINTA DE PAPEL AZUL CANDELA 36 MM,FERRETERIA,"$ 3,330.52"
2-007,CINTA DOBLE FAZ BLANCA,FERRETERIA,"$ 5,819.15"
SG-041-CE12,CINTA ENMASC TEK BOND 12,FERRETERIA,"$ 1,228.17"
SG-041-CE18,CINTA ENMASC TEK BOND 18,FERRETERIA,"$ 1,841.73"
SG-041-CE24,CINTA ENMASC TEK BOND 24,FERRETERIA,"$ 2,459.36"
SG-041-CE36,CINTA ENMASC TEK BOND 36,FERRETERIA,"$ 3,683.45"
SG-041-CE48,CINTA ENMASC TEK BOND 48,FERRETERIA,"$ 4,918.73"
5-091-GFP,CINTA ENMASCARAR GFP 12 MM,PINTURA,"$ 1,135.32"
MP-050-C28,CINTA MICROPERFORADA X25,PINTURA,"$ 2,221.08"
MP-050-C29,CINTA MICROPERFORADA X75,PINTURA,"$ 5,502.21"
2-008,CINTA MULTIPROPOSITO 9 MTS AMARILLO,FERRETERIA,"$ 3,884.46"
2-008,CINTA MULTIPROPOSITO 9 MTS AMARILLO,FERRETERIA,"$ 3,505.49"
2-009,CINTA MULTIPROPOSITO 9 MTS AZUL,FERRETERIA,"$ 3,505.49"
2-009,CINTA MULTIPROPOSITO 9 MTS AZUL,FERRETERIA,"$ 3,884.46"
2-010,CINTA MULTIPROPOSITO 9 MTS BCO,FERRETERIA,"$ 3,884.46"
2-010,CINTA MULTIPROPOSITO 9 MTS BCO,FERRETERIA,"$ 3,505.49"
2-011,CINTA MULTIPROPOSITO 9 MTS GRIS,FERRETERIA,"$ 3,505.49"
2-011,CINTA MULTIPROPOSITO 9 MTS GRIS,FERRETERIA,"$ 3,884.46"
2-012,CINTA MULTIPROPOSITO 9 MTS NEGRO,FERRETERIA,"$ 3,505.49"
